#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (OMR)
60,Ireland,152404,0.20%,497.5,7.84,2.07,0.8073
61,Libya,223000,0.20%,526.6,0.12,0.03,0.0117
62,New Zealand,166913,0.20%,549.2,7.82,2.07,0.8073
63,Finland,210030,0.20%,585.7,10.01,2.64,1.0296
64,Panama,155000,0.20%,588.6,5.49,1.45,0.5655
65,Norway,204090,0.20%,595.8,10.22,2.7,1.053
66,Oman,183000,0.20%,626.3,2.35,0.62,0.2418
67,Qatar,172000,0.20%,993.4,2.18,0.58,0.2262
68,Bangladesh,113000,0.10%,11,3.59,0.95,0.3705
69,Myanmar,123000,0.10%,35.5,4.75,1.26,0.4914
70,Kenya,114000,0.10%,35.6,5.14,1.36,0.5304
71,Sudan,140000,0.10%,53.9,4.8,1.27,0.4953
72,Angola,133000,0.10%,70.7,1.39,0.37,0.1443
73,Sri Lanka,127000,0.10%,92.6,4.75,1.26,0.4914
74,Syria,140000,0.10%,122.9,1.08,0.29,0.1131
75,Tunisia,97000,0.10%,131.5,2.86,0.76,0.2964
76,Jordan,114000,0.10%,182.9,6.3,1.66,0.6474
77,Dominican Republic,133000,0.10%,196.1,5.33,1.41,0.5499
78,Bulgaria,97000,0.10%,207.9,6.53,1.72,0.6708
79,Belarus,137000,0.10%,222.3,2.67,0.71,0.2769
80,Puerto Rico,96746,0.10%,451.7,5.41,1.43,0.5577
81,Azerbaijan,96000,0.10%,151.2,2.23,0.59,0.2301
82,Guatemala,93000,0.10%,86,5.14,1.36,0.5304
83,Bolivia,90000,0.09%,125.1,2.06,0.54,0.2106
84,Ghana,88000,0.09%,47.4,4.87,1.29,0.5031
85,Slovakia,81587,0.08%,229.8,7.5,1.98,0.7722
86,Ethiopia,74000,0.08%,10.9,2.7,0.71,0.2769
87,Serbia,74000,0.08%,128.1,6.64,1.76,0.6864
88,Tanzania,71999,0.07%,20.8,4.86,1.28,0.4992
89,Croatia,69000,0.07%,251.3,7.24,1.91,0.7449
90,Bahrain,62000,0.06%,666.6,2.01,0.53,0.2067
91,Lithuania,61612,0.06%,326.9,8.11,2.14,0.8346
92,Yemen,60000,0.06%,33.9,1.96,0.52,0.2028
93,Honduras,58000,0.06%,95.9,5.49,1.45,0.5655
94,Trinidad and Tobago,57000,0.06%,634.3,3.76,0.99,0.3861
95,Luxembourg,56194,0.06%,1487.2,7.91,2.09,0.8151
96,Costa Rica,55000,0.06%,172.1,5.87,1.55,0.6045
97,Jamaica,54000,0.06%,284.8,6.36,1.68,0.6552
98,Uruguay,53000,0.06%,237.3,7.64,2.02,0.7878
99,El Salvador,52000,0.05%,125.4,4.31,1.14,0.4446
100,Slovenia,52298,0.05%,386.5,6.15,1.62,0.6318
101,Cyprus,52000,0.05%,681.2,7.04,1.86,0.7254
102,Côte d'Ivoire,51000,0.05%,32.8,4.47,1.18,0.4602
103,Paraguay,51000,0.05%,115.4,5.3,1.4,0.546
104,Uzbekistan,49000,0.05%,23.9,3.39,0.9,0.351
105,Senegal,49000,0.05%,50.1,5.39,1.42,0.5538
106,Cambodia,48000,0.05%,46.7,5.78,1.53,0.5967
107,Malta,47000,0.05%,1652.2,5.28,1.4,0.546
108,Nepal,43000,0.04%,24.2,5.39,1.42,0.5538
109,Mozambique,40000,0.04%,22,4.94,1.3,0.507
110,Cameroon,40000,0.04%,25.6,3.93,1.04,0.4056
111,Kyrgyzstan,40000,0.04%,100.9,3.14,0.83,0.3237
112,Latvia,37694,0.04%,292.7,8.28,2.19,0.8541
113,Papua New Guinea,37001,0.04%,68.6,5.87,1.55,0.6045
114,Nicaragua,37000,0.04%,90,5.18,1.37,0.5343
115,Benin,36000,0.04%,50.8,3.63,0.96,0.3744
116,Afghanistan,35000,0.04%,15.2,3.62,0.96,0.3744
117,Bosnia and Herzegovina,35000,0.04%,158.4,6.55,1.73,0.6747
118,Georgia,33000,0.03%,126,5.04,1.33,0.5187
119,Uganda,32001,0.03%,12.4,5.7,1.51,0.5889
120,Estonia,28855,0.03%,336,8.35,2.21,0.8619
121,Mauritius,28000,0.03%,340.2,6.36,1.68,0.6552
122,Albania,27000,0.03%,143.4,8,2.11,0.8229
123,Namibia,26000,0.03%,169,4.8,1.27,0.4953
124,Zimbabwe,24000,0.03%,26.2,6.13,1.62,0.6318
125,State of Palestine,24001,0.03%,79.4,6.62,1.75,0.6825
126,Burkina Faso,23000,0.02%,18.9,4.33,1.14,0.4446
127,Haiti,23000,0.02%,32.5,2.18,0.58,0.2262
128,Mali,21999,0.02%,18.8,4.61,1.22,0.4758
129,Zambia,22000,0.02%,20.6,5.59,1.48,0.5772
130,DR Congo,21000,0.02%,4.1,4.43,1.17,0.4563
131,Tajikistan,21000,0.02%,37.2,5.94,1.57,0.6123
132,Mongolia,21000,0.02%,105.3,4.67,1.23,0.4797
133,Botswana,21000,0.02%,149,4.29,1.13,0.4407
134,North Macedonia,21000,0.02%,154.7,7.12,1.88,0.7332
135,Gabon,21000,0.02%,160.3,3.65,0.97,0.3783
136,Bahamas,20036,0.02%,812.7,6.48,1.71,0.6669
137,New Caledonia,20000,0.02%,1118.2,8.19,2.16,0.8424
138,Guinea,19001,0.02%,24.8,5.13,1.36,0.5304
139,Iceland,19090,0.02%,880.9,9.83,2.6,1.014
140,North Korea,18000,0.02%,10.9,54.89,14.5,5.655
141,Madagascar,18000,0.02%,11.1,3.86,1.02,0.3978
142,Laos,18000,0.02%,40.3,7.23,1.91,0.7449
143,Moldova,18001,0.02%,67.9,6.75,1.78,0.6942
144,Congo,17000,0.02%,52.3,3.94,1.04,0.4056
145,Macao,17110,0.02%,428,5.42,1.43,0.5577
146,Fiji,16000,0.02%,281.2,5.27,1.39,0.5421
147,Brunei ,16000,0.02%,584.3,0.83,0.22,0.0858
148,Togo,15000,0.02%,30.6,3.18,0.84,0.3276
149,Guyana,14000,0.01%,278.2,4.6,1.22,0.4758
150,Suriname,13000,0.01%,352.8,4.26,1.13,0.4407
151,Maldives,11000,0.01%,354.6,3.6,0.95,0.3705
152,Barbados,11001,0.01%,590.1,8.27,2.18,0.8502
153,South Sudan,8001,0.01%,11.3,4.8,1.27,0.4953
154,Liberia,8000,0.01%,26.7,4.9,1.3,0.507
155,Aruba,8000,0.01%,1169.4,6.08,1.61,0.6279
156,Seychelles,7299,0.01%,1169.1,6.9,1.82,0.7098
157,Montenegro,7000,0.01%,171.1,6.46,1.71,0.6669
158,Rwanda,6700,0.01%,8.8,5.36,1.42,0.5538
159,Sierra Leone,6500,0.01%,13.6,5.17,1.37,0.5343
160,Malawi,6001,0.01%,5.3,5.12,1.35,0.5265
161,Armenia,6000,0.01%,31.3,4.77,1.26,0.4914
162,Somalia,5600,0.01%,6.1,3.03,0.8,0.312
163,Cabo Verde,5600,0.01%,161.6,6.86,1.81,0.7059
164,Lesotho,5001,0.01%,36.9,5.68,1.5,0.585
165,Cayman Islands,4401,0.00%,1078.3,6.27,1.66,0.6474
166,Belize,4001,0.00%,166.5,6.68,1.76,0.6864
167,Gambia,3800,0.00%,27.1,5.04,1.33,0.5187
168,Bhutan,3001,0.00%,62.4,4.46,1.18,0.4602
169,Central African Republic,2800,0.00%,9.5,9.06,2.39,0.9321
170,Grenada,2000,0.00%,278.1,4.62,1.22,0.4758
171,Burundi,1499,0.00%,2.2,5.09,1.34,0.5226
172,Comoros,1300,0.00%,25,5.15,1.36,0.5304
173,Dominica,1301,0.00%,279.7,4.78,1.26,0.4914
174,British Virgin Islands,1240,0.00%,647.6,3.6,0.95,0.3705
175,Vanuatu,1100,0.00%,60.6,4.92,1.3,0.507
176,Tonga,899,0.00%,136.3,16.2,4.28,1.6692
177,Saint Pierre & Miquelon,660,0.00%,1705.1,8.27,2.19,0.8541
178,Kiribati,400,0.00%,54.5,4.09,1.08,0.4212
179,Montserrat,400,0.00%,1231.1,4.57,1.21,0.4719
180,Saint Helena,70,0.00%,180.2,5.53,1.46,0.5694
181,Niue,51,0.00%,484.4,11.43,3.02,1.1778
